Game_Title,Platform,Release_Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.90,9.31,94.00,70,8.40,1320,Infinity Ward,M
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.00,70,8.70,626,Nintendo,E
Mario Party DS,DS,2007,Misc,Nintendo,4.40,1.85,1.98,0.68,8.91,72.00,27,7.80,85,Hudson Soft,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.10,0.85,8.79,96.00,89,8.40,3589,Bethesda Game Studios,M
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.00,42,4.30,896,EA Sports,E
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.00,91,8.20,1218,Bungie Software,M
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.00,42,7.40,54,Nd Cube,E
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.70,8.27,62.00,41,6.30,190,Hudson,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.00,37,6.60,348,Electronic Arts,E
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.00,53,8.70,1056,SquareSoft,T
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.00,0.60,8.01,86.00,75,7.60,886,The Sims Studio,T
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.00,46,8.50,203,Game Freak,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.90,2.81,0.24,1.73,7.69,88.00,65,7.60,451,Rockstar Leeds,M
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.00,39,5.70,1443,Sledgehammer Games,M
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.00,41,5.00,398,"EA Sports, EA Vancouver",E
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.00,87,9.10,1854,Nintendo EAD Tokyo,E
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.00,0.69,7.38,84.00,84,7.60,580,Treyarch,M
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.00,57,7.40,2142,EA DICE,M
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.20,85.00,33,8.60,171,EA Black Box,E
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.00,0.73,7.20,49.00,21,8.00,110,Ubisoft Paris,E10+
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.00,38,7.50,1761,EA DICE,M
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.00,58,6.50,4228,Bethesda Game Studios,M
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.60,0.68,7.15,95.00,73,9.00,1658,Nintendo,T
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.00,82,9.10,1599,Nintendo,E
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.90,82.00,39,8.60,132,EA Canada,E
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.00,29,8.50,135,EA LA,T
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.00,0.55,6.76,74.00,10,7.30,28,Ubisoft,E10+
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.90,0.06,0.64,6.75,93.00,90,7.70,2739,Epic Games,M
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.00,97,8.30,3712,Naughty Dog,T
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.00,44,8.40,993,Infinity Ward,M
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.20,0.21,0.98,6.66,96.00,105,8.80,5187,Naughty Dog,T
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.60,0.62,6.62,74.00,45,7.40,27,Nintendo,E
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.00,73,8.80,2456,Rockstar San Diego,M
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.00,37,4.30,576,EA Canada,E
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.00,41,6.90,1307,Ubisoft,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.00,77,8.60,368,Retro Studios,E
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.30,0.08,0.07,6.43,97.00,68,8.60,1283,Bungie Software,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.60,0.25,1.00,6.41,92.00,16,6.40,2527,Bethesda Game Studios,M
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.20,1.49,0.07,6.40,85.00,46,8.80,597,SquareSoft,E
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.00,94,7.10,1163,"Bungie Software, Bungie",M
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.70,1.95,0.09,0.58,6.32,95.00,96,9.00,2316,Rockstar San Diego,M
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.00,0.00,6.29,93.00,57,7.30,2182,Blizzard Entertainment,T
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.50,6.21,91.00,96,7.80,1504,Epic Games,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.00,51,7.40,95,Rare Ltd.,E10+
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.60,6.09,94.00,88,8.30,2295,Epic Games,M
FIFA 15,PS4,2014,Sports,Electronic Arts,0.80,4.33,0.05,0.90,6.08,82.00,47,5.70,988,EA Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.00,42,8.70,1026,KCEJ,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.00,82,8.70,3558,Kojima Productions,M
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.00,2.33,1.74,5.95,92.00,64,7.60,972,Square Enix,T
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.00,98,9.10,8003,Naughty Dog,M
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.80,1.98,0.17,0.87,5.82,95.00,85,6.80,5311,"SCE/WWS, Media Molecule",E
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.00,65,8.80,197,Level 5,E10+
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.00,95,6.10,5380,"Bungie Software, Bungie",T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.00,0.51,5.64,80.00,17,8.90,62,Traveller's Tales,E10+
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.00,35,7.20,21,Taito Corporation,E
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.00,70,8.60,1202,Ubisoft Montreal,M
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.00,77,7.70,1074,Ubisoft Montreal,M
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.90,0.10,0.50,5.49,92.00,90,8.00,516,Turn 10,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.00,48,8.70,124,Capcom,T
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.00,42,8.60,2162,Rocksteady Studios,T
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.00,0.47,5.48,97.00,14,7.90,764,Rockstar North,M
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.00,22,7.10,156,Traveller's Tales,E
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.00,0.83,5.39,85.00,45,7.60,409,Treyarch,M
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.50,0.19,0.85,5.38,93.00,113,7.90,7064,Naughty Dog,T
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.00,83,7.30,2483,Square Enix,T
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.30,94.00,22,8.90,779,SquareSoft,T
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.00,61,6.70,1196,Ubisoft,M
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.00,45,6.60,400,SquareSoft,T
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.00,53,5.40,898,Sledgehammer Games,M
Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.00,82,8.80,1305,Ubisoft Montreal,M
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.30,1.34,1.27,0.32,5.22,84.00,70,8.10,733,Nintendo,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.20,5.21,89.00,63,8.80,245,Level 5,T
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.00,72,8.60,147,Level 5,E
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.00,48,6.10,403,Electronic Arts,E
Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.00,0.54,5.14,88.00,86,4.00,9629,Blizzard Entertainment,M
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.80,5.13,68.00,30,7.60,100,EA LA,T
Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.00,0.68,5.12,92.00,69,8.50,112,Harmonix Music Systems,T
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.10,80.00,88,6.50,604,Lionhead Studios,M
Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.00,76,7.50,667,Capcom,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.80,0.95,0.48,5.08,90.00,57,8.00,416,Nintendo,E
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.00,51,8.00,233,EA Sports,E
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.70,1.99,0.16,1.18,5.03,86.00,50,8.00,150,Rockstar Leeds,M
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.00,24,8.20,46,"Neversoft Entertainment, BudCat",T
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.00,34,7.10,47,Nintendo,T
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.40,0.99,0.09,0.45,4.93,93.00,84,8.50,1655,Bethesda Game Studios,M
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.00,66,8.10,2306,"Naughty Dog, SCE/WWS",T
Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.00,29,8.00,121,EA Sports,E
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.00,0.58,4.84,93.00,82,8.20,3052,Blizzard Entertainment,T
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.00,0.09,0.82,4.82,81.00,40,7.30,769,Ubisoft Montreal,M
God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.80,92.00,101,8.70,2633,SCE Santa Monica,M
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.00,0.45,4.76,80.00,9,5.40,46,TT Fusion,E
Driver 2,PS,2000,Action,Atari,2.36,2.10,0.02,0.25,4.73,62.00,14,7.70,92,Reflections Interactive,T
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.00,87,8.70,1472,Rocksteady Studios,T
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.20,4.68,98.00,19,7.70,299,Neversoft Entertainment,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.70,4.67,82.00,32,8.20,78,Stormfront Studios,T
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73.00,50,7.60,119,Nintendo,E
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.00,78,8.10,1264,Bluepoint Games,T
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.00,0.43,4.60,86.00,36,8.40,87,Vicarious Visions,T
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.80,1.39,1.11,0.29,4.59,86.00,74,8.40,458,Next Level Games,E
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.00,83,8.20,617,Turn 10,E
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.00,30,7.90,78,EA Tiburon,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,85.00,69,7.90,165,Neversoft Entertainment,T
Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.00,29,8.20,39,EA Sports,E
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.00,101,6.40,2438,343 Industries,T
Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,76.00,25,7.90,41,Treyarch,E
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2.00,0.15,0.71,4.46,77.00,82,3.40,1129,Infinity Ward,M
God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.00,75,8.90,997,SCE Santa Monica,M
Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81.00,88,8.50,1184,Nintendo,E10+
Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77.00,61,7.90,471,Nintendo,E10+
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97.00,34,7.50,298,Neversoft Entertainment,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.10,2.39,1.05,0.86,4.39,86.00,19,8.90,33,Konami,E
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.40,4.38,94.00,90,8.70,1109,Bethesda Softworks,M
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.00,36,9.10,137,EA Canada,T
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.00,37,8.30,31,"Ubisoft Paris, Ubisoft Montpellier",E10+
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86.00,70,8.10,715,Insomniac Games,M
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.20,0.58,1.38,0.17,4.33,87.00,64,9.00,766,Square Enix,E10+
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93.00,83,9.00,1607,Nintendo,E
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.00,95,6.50,2423,Lionhead Studios,M
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91.00,70,8.90,1122,Rocksteady Studios,T
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0.00,0.83,1.93,4.23,91.00,68,9.30,955,KCEJ,M
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.01,0.10,0.70,4.22,80.00,39,7.50,613,Ubisoft Montreal,M
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.00,39,6.20,1749,Bethesda Game Studios,M
FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.89,0.01,0.40,4.22,84.00,41,4.20,435,EA Canada,E
Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.01,0.00,0.75,4.21,85.00,59,8.70,109,Ready at Dawn,E10+
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.00,32,7.80,47,EA Canada,E
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.30,0.20,0.83,4.20,80.00,32,7.50,22,"SCEE, Zoe Mode",E
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,80.00,67,7.10,120,Polyphony Digital,E
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.00,77,7.20,564,Ubisoft Montreal,M
Street Fighter IV,PS3,2009,Fighting,Capcom,2.03,1.04,0.58,0.52,4.16,94.00,61,7.30,330,Capcom,T
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,95.00,25,7.70,65,EA Sports,E
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0.00,0.00,4.09,91.00,46,7.90,785,Blizzard Entertainment,T
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.10,2.15,0.21,0.61,4.08,88.00,31,8.40,809,EA DICE,M
God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,93.00,70,8.90,709,SCE Santa Monica,M
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2.66,1.03,0.04,0.33,4.05,84.00,81,8.10,769,Obsidian Entertainment,M
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05,90.00,66,8.30,381,Turn 10,E
Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.12,1.47,0.05,0.42,4.05,56.00,27,6.00,44,Cat Daddy Games,E
Watch Dogs,PS4,2014,Action,Ubisoft,1.40,1.90,0.11,0.64,4.05,80.00,80,6.30,2996,Ubisoft Montreal,M
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,85.00,25,8.50,117,Namco,T
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.10,0.63,4.04,85.00,83,7.70,1653,Ubisoft Montreal,M
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.87,0.05,0.38,3.97,89.00,76,8.60,681,Valve Software,M
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92.00,79,9.20,10179,CD Projekt Red Studio,M
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.00,40,4.90,2050,"Ubisoft, Ubisoft Montreal",M
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.10,0.64,3.95,87.00,89,7.60,2679,Rocksteady Studios,M
